Timestamp,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
57,AA,1711,BOS,MIA,3,330,210,0
58,CO,611,EWR,IAH,3,330,233,0
59,DL,1143,CHS,ATL,3,330,72,0
60,DL,1511,MSN,DTW,3,330,80,0
61,DL,1518,MCO,ATL,3,330,84,0
62,DL,1698,JAX,ATL,3,330,80,0
63,DL,1842,SAT,ATL,3,330,142,0
64,DL,1972,TPA,ATL,3,330,85,0
65,DL,2054,PNS,ATL,3,330,75,0
66,DL,2112,BHM,ATL,3,330,58,0
67,DL,2306,LIT,ATL,3,330,97,0
68,DL,2711,SAV,ATL,3,330,65,0
69,DL,2995,BNA,ATL,3,330,67,0
70,EV,4940,OMA,ATL,3,330,147,0
71,EV,5014,ICT,ATL,3,330,132,0
72,EV,5044,ECP,ATL,3,330,68,0
73,EV,5117,DHN,ATL,3,330,70,0
74,EV,5393,MGM,ATL,3,330,57,0
75,EV,5532,CAE,ATL,3,330,64,1
76,EV,7108,PWM,IAD,3,330,114,0
77,OO,6917,ACV,SMF,3,330,65,0
78,OO,7781,EKO,SLC,3,330,70,0
79,US,1289,BOS,PHL,3,330,84,0
80,US,1420,PHL,CLT,3,330,102,0
81,US,1732,ATL,CLT,3,330,68,1
82,US,347,PDX,PHX,3,330,148,0
83,US,913,RIC,CLT,3,330,72,0
84,XE,2263,BTR,IAH,3,330,72,1
85,XE,3024,HRL,IAH,3,330,70,0
86,YV,2605,MYR,CLT,3,330,62,0
87,HA,103,HNL,LIH,3,331,35,0
88,UA,576,SEA,DEN,3,331,159,0
89,OO,6644,TUS,DEN,3,333,112,0
90,YV,7294,SBN,ORD,3,334,46,0
91,9E,3661,CAK,DTW,3,335,76,0
92,9E,3725,TVC,DTW,3,335,75,0
93,9E,3804,CLE,ATL,3,335,128,0
94,AA,674,ORD,MIA,3,335,185,1
95,B6,728,BQN,JFK,3,335,231,0
96,CO,463,ORD,IAH,3,335,164,1
97,OH,6423,DAY,DTW,3,335,75,0
98,OO,6698,MFR,PDX,3,335,74,0
99,XE,2865,MKE,IAH,3,335,174,0
100,EV,7101,BTV,IAD,3,336,110,0
101,9E,3998,TLH,ATL,3,338,68,0
102,9E,4196,TYS,ATL,3,340,57,0
103,CO,214,DFW,IAH,3,340,59,1
104,DL,2123,BOS,DTW,3,340,144,0
105,DL,2597,RIC,ATL,3,340,109,0
106,DL,2626,FLL,ATL,3,340,118,0
107,DL,684,AUS,ATL,3,340,134,0
108,EV,5583,CHA,ATL,3,340,47,0
109,MQ,4563,CMH,LGA,3,340,100,0
110,XE,2616,LRD,IAH,3,340,66,1
111,XE,3006,BRO,IAH,3,340,70,0
112,XE,3015,CRP,IAH,3,340,59,1
113,XE,5970,LAN,ORD,3,340,71,0
114,9E,3659,ALB,ATL,3,345,183,0
115,9E,3862,SAT,MEM,3,345,119,1
116,9E,3949,PVD,DTW,3,345,135,1
117,9E,4143,FWA,DTW,3,345,59,0
118,AA,1141,JFK,MIA,3,345,190,0
119,AA,1297,DFW,MIA,3,345,160,0
120,AA,2320,DFW,ORD,3,345,140,0
121,CO,1677,PHL,IAH,3,345,219,0
122,CO,1727,BWI,IAH,3,345,208,0
123,CO,240,AUS,IAH,3,345,55,0
124,CO,278,SAT,IAH,3,345,54,0
125,CO,633,LGA,IAH,3,345,235,0
126,DL,1095,OKC,ATL,3,345,127,0
127,DL,1112,PIT,ATL,3,345,131,1
128,DL,1506,LAX,DTW,3,345,270,0
129,DL,1580,SFO,DTW,3,345,270,0
130,DL,2320,PBI,ATL,3,345,113,0
131,DL,2481,ORF,ATL,3,345,120,0
132,DL,2710,DFW,ATL,3,345,132,0
133,DL,2939,DCA,ATL,3,345,120,1
134,EV,5142,AEX,ATL,3,345,119,0
135,EV,5218,SYR,ATL,3,345,158,0
136,EV,5233,BTR,ATL,3,345,97,0
137,EV,5362,SHV,ATL,3,345,123,1
138,EV,5501,VLD,ATL,3,345,62,0
139,OH,6264,BDL,CVG,3,345,133,0
140,OH,6549,MFE,MEM,3,345,118,0
141,OO,6407,FAT,SFO,3,345,45,0
142,OO,6647,BZN,DEN,3,345,107,0
143,OO,6925,PHX,LAX,3,345,85,0
144,OO,6964,RDM,PDX,3,345,58,0
145,US,1423,DCA,CLT,3,345,85,0
146,XE,2919,LFT,IAH,3,345,58,0
147,XE,5951,CAK,ORD,3,345,95,0
148,OO,6480,IPL,YUM,3,346,34,0
149,OO,6843,EAU,CWA,3,346,32,0
150,UA,756,SFO,DEN,3,348,158,0
151,OO,3099,OMA,MKE,3,349,81,1
152,9E,3718,ERI,DTW,3,350,65,1
153,B6,107,BUF,JFK,3,350,83,0
154,DL,1248,IAH,ATL,3,350,130,1
155,DL,1985,DAY,ATL,3,350,114,0
156,DL,2387,MKE,ATL,3,350,129,1
157,DL,2405,PHL,DTW,3,350,115,0
158,DL,734,MCI,ATL,3,350,129,0
159,EV,5165,AGS,ATL,3,350,60,0
160,FL,331,PHL,ATL,3,350,145,0
161,MQ,2734,ABI,DFW,3,350,50,0
162,MQ,2796,GRR,DFW,3,350,175,0
163,MQ,3014,FAT,LAX,3,350,65,0
164,MQ,3332,LBB,DFW,3,350,70,0
165,MQ,3632,CLT,MIA,3,350,120,1
166,MQ,3781,LIT,ORD,3,350,105,0
167,MQ,3842,MSP,ORD,3,350,95,1
168,MQ,3892,PHL,ORD,3,350,140,0
169,MQ,4013,LEX,ORD,3,350,95,0
170,OH,6498,ORD,ATL,3,350,128,1
171,OH,6629,GRR,DTW,3,350,61,0
172,9E,4391,MBS,DTW,3,351,59,0
173,HA,218,HNL,KOA,3,352,41,0
174,OO,6921,MOD,SFO,3,352,38,0
175,9E,3935,EWR,DTW,3,355,130,1
176,9E,3955,LBB,MEM,3,355,119,0
177,9E,4200,TYS,CVG,3,355,64,0
178,9E,4274,AMA,MEM,3,355,120,0
179,B6,735,JFK,BQN,3,355,215,0
180,DL,377,BDL,DTW,3,355,130,0
181,HA,202,HNL,ITO,3,355,49,0
182,MQ,2864,SGF,DFW,3,355,90,0
183,OH,6262,OMA,DTW,3,355,137,1
184,OH,6414,AZO,DTW,3,355,58,0
185,OO,7014,RDM,SFO,3,355,101,0
186,9E,3668,TYS,LGA,3,360,131,0
187,9E,3724,ABE,DTW,3,360,115,0
188,9E,3755,SWF,DTW,3,360,120,0
189,9E,3757,BGM,DTW,3,360,103,0
190,9E,3795,SBN,CVG,3,360,60,1
191,9E,3845,AVP,DTW,3,360,105,0
192,9E,3850,FNT,DTW,3,360,48,0
193,9E,3871,BHM,DTW,3,360,125,0
194,9E,3875,GSP,DTW,3,360,115,0
195,9E,3893,FWA,ATL,3,360,115,0
196,9E,3923,IAH,MEM,3,360,95,0
197,9E,3957,ATW,MSP,3,360,76,1
198,9E,3985,DSM,MEM,3,360,100,1
199,9E,4008,BTV,JFK,3,360,100,0
200,9E,4026,ORF,DTW,3,360,125,1
201,9E,4058,LAN,DTW,3,360,50,0
202,9E,4239,ITH,DTW,3,360,97,1
203,9E,4272,ECP,MEM,3,360,90,0
204,9E,4324,DCA,JFK,3,360,82,0
205,AA,1056,TUL,DFW,3,360,70,0
206,AA,1140,SAT,DFW,3,360,65,0
207,AA,1143,TPA,DFW,3,360,170,0
208,AA,1215,DCA,DFW,3,360,210,0
209,AA,1225,COS,DFW,3,360,120,0
210,AA,1406,OMA,DFW,3,360,125,0
211,AA,1584,LAS,DFW,3,360,160,0
212,AA,1596,PDX,DFW,3,360,225,0
213,AA,1602,ELP,DFW,3,360,100,0
214,AA,1615,BDL,DFW,3,360,260,0
215,AA,1631,MSY,MIA,3,360,105,0
216,AA,1670,AUS,ORD,3,360,165,0
217,AA,1755,ABQ,DFW,3,360,105,0
218,AA,1839,OKC,DFW,3,360,60,0
219,AA,1843,BOS,ORD,3,360,175,0
220,AA,1878,SMF,DFW,3,360,205,0
221,AA,1921,EWR,MIA,3,360,185,0
222,AA,1965,STL,DFW,3,360,115,0
223,AA,1994,IAH,MIA,3,360,135,0
224,AA,2037,BNA,MIA,3,360,135,1
225,AA,2060,SEA,ORD,3,360,245,1
226,AA,2103,IAD,MIA,3,360,160,0
227,AA,2203,LGA,MIA,3,360,190,1
228,AA,2299,DTW,MIA,3,360,190,0
229,AA,2301,ORD,DFW,3,360,150,1
230,AA,445,DCA,ORD,3,360,125,0
231,AA,526,SFO,DFW,3,360,215,0
232,AA,528,LAX,MIA,3,360,280,1
233,AA,548,LAX,ORD,3,360,240,0
234,AA,552,SFO,MIA,3,360,315,1
235,AA,654,PHX,DFW,3,360,130,0
236,AA,708,AUS,DFW,3,360,60,0
237,AS,454,SEA,LAX,3,360,150,0
238,AS,55,ANC,FAI,3,360,58,0
239,AS,600,SEA,LAS,3,360,143,0
240,AS,62,FAI,ANC,3,360,70,0
241,AS,81,SEA,ANC,3,360,219,0
242,B6,1001,BOS,JFK,3,360,71,1
243,B6,1133,SYR,JFK,3,360,85,0
244,B6,1224,RDU,BOS,3,360,101,1
245,B6,155,JFK,MCO,3,360,168,0
246,B6,162,RSW,JFK,3,360,156,0
247,B6,1695,BOS,MCO,3,360,192,0
248,B6,19,BTV,JFK,3,360,84,0
249,B6,247,OAK,LGB,3,360,77,0
250,B6,370,FLL,LGA,3,360,159,1
251,B6,371,LGA,FLL,3,360,174,0
252,B6,442,TPA,BOS,3,360,167,0
253,B6,45,ROC,JFK,3,360,83,0
254,B6,52,MCO,JFK,3,360,141,0
255,B6,68,FLL,JFK,3,360,160,1
256,B6,701,JFK,SJU,3,360,218,0
257,CO,1045,CLE,IAH,3,360,190,0
258,CO,1428,CLT,IAH,3,360,180,0
259,CO,1617,MCI,IAH,3,360,118,1
260,CO,1810,SMF,IAH,3,360,220,0
261,CO,1815,OMA,IAH,3,360,138,1
262,CO,308,PDX,IAH,3,360,238,0
263,CO,469,SFO,IAH,3,360,225,1
264,CO,759,DCA,IAH,3,360,206,0
265,CO,89,IAH,EWR,3,360,200,0
266,DL,1084,ANC,MSP,3,360,326,0
267,DL,1106,SEA,SLC,3,360,120,0
268,DL,1157,CMH,ATL,3,360,110,0
269,DL,1181,RSW,ATL,3,360,110,0
270,DL,1249,PWM,ATL,3,360,192,0
271,DL,1297,JFK,ATL,3,360,168,0
272,DL,1301,IND,ATL,3,360,105,0
273,DL,1371,BOS,LGA,3,360,68,0
274,DL,1401,BOS,ATL,3,360,190,0
275,DL,1445,DCA,DTW,3,360,102,0
276,DL,1447,LGA,ATL,3,360,167,0
277,DL,1504,MCI,DTW,3,360,118,0
278,DL,1602,LAS,ATL,3,360,223,0
279,DL,1625,BWI,ATL,3,360,120,0
280,DL,1767,CLT,DTW,3,360,115,0
281,DL,1831,PDX,SLC,3,360,107,1
282,DL,1889,CVG,ATL,3,360,103,0
283,DL,1949,RDU,ATL,3,360,87,0
284,DL,2205,MDW,ATL,3,360,120,0
285,DL,2280,STL,ATL,3,360,110,1
286,DL,2437,CLT,ATL,3,360,82,1
287,DL,2480,SEA,DTW,3,360,253,0
288,DL,2525,BOS,MSP,3,360,210,1
289,DL,2530,BZN,MSP,3,360,138,0
290,DL,2581,SDF,ATL,3,360,84,0
291,DL,2806,SFO,MSP,3,360,222,0
292,DL,2816,LAS,DTW,3,360,233,0
293,DL,725,SFO,SLC,3,360,113,0
294,EV,4942,JAX,DCA,3,360,112,0
295,EV,4946,ABY,ATL,3,360,50,0
296,EV,4979,TRI,ATL,3,360,67,0
297,EV,4998,XNA,ATL,3,360,119,0
298,EV,5011,ROA,DTW,3,360,98,0
299,EV,5027,MLI,ATL,3,360,130,0
300,EV,5079,LYH,ATL,3,360,85,0
301,EV,5141,EVV,ATL,3,360,80,0
302,EV,5169,HPN,ATL,3,360,151,0
303,EV,5265,SYR,DTW,3,360,115,0
304,EV,5275,FAY,ATL,3,360,86,0
305,EV,5313,EWN,ATL,3,360,98,0
306,EV,5316,CSG,ATL,3,360,44,0
307,EV,5366,SGF,ATL,3,360,119,0
308,EV,5374,CAK,ATL,3,360,109,1
309,EV,5387,GPT,ATL,3,360,80,1
310,EV,5435,MLU,ATL,3,360,98,1
311,EV,5460,MOB,ATL,3,360,77,1
312,EV,5479,LFT,ATL,3,360,120,0
313,EV,5491,OAJ,ATL,3,360,98,0
314,EV,5507,CHO,ATL,3,360,102,0
315,EV,5564,ILM,ATL,3,360,88,1
316,EV,5605,ROA,ATL,3,360,86,0
317,EV,7070,ROA,ORD,3,360,116,0
318,EV,7075,DTW,IAD,3,360,90,1
319,EV,7086,DAY,IAD,3,360,90,0
320,EV,7097,CMH,ORD,3,360,82,0
321,EV,7100,CAE,ORD,3,360,128,1
322,EV,7116,JFK,IAD,3,360,81,0
323,EV,7323,BMI,ATL,3,360,115,0
324,EV,7378,DEN,CVG,3,360,158,0
325,F9,225,MDW,DEN,3,360,157,1
326,F9,377,BOS,MKE,3,360,165,1
327,FL,143,DTW,ATL,3,360,125,0
328,FL,155,IND,BWI,3,360,105,0
329,FL,183,DCA,ATL,3,360,123,0
330,FL,200,CAK,ATL,3,360,120,0
331,FL,254,FNT,ATL,3,360,134,0
332,FL,281,BOS,ATL,3,360,180,0
333,FL,359,LGA,ATL,3,360,161,0
334,FL,429,PNS,ATL,3,360,69,0
335,FL,557,BUF,ATL,3,360,135,0
336,FL,630,DAY,BWI,3,360,93,0
337,FL,726,DFW,MKE,3,360,135,0
338,FL,738,MSP,MKE,3,360,70,0
339,FL,84,FLL,ATL,3,360,113,0
340,FL,901,PHF,ATL,3,360,123,0
341,FL,912,MKE,BWI,3,360,120,1
342,FL,942,ROC,BWI,3,360,83,0
343,FL,967,ACY,ATL,3,360,135,1
344,MQ,2731,CVG,DFW,3,360,165,0
345,MQ,2750,JAN,DFW,3,360,100,1
346,MQ,2963,CID,DFW,3,360,140,0
347,MQ,3256,GRK,DFW,3,360,50,0
348,MQ,3265,HOU,DFW,3,360,70,0
349,MQ,3280,CRP,DFW,3,360,80,0
350,MQ,3325,DSM,DFW,3,360,130,0
351,MQ,3357,MOB,DFW,3,360,115,0
352,MQ,3372,BTR,DFW,3,360,90,0
353,MQ,3450,XNA,DFW,3,360,70,0
354,MQ,3512,MKE,DFW,3,360,165,0
355,MQ,3650,TYS,MIA,3,360,135,0
356,MQ,3736,ORD,EWR,3,360,120,1
357,MQ,3748,ORD,MSP,3,360,85,0
358,MQ,3768,EWR,ORD,3,360,165,0
359,MQ,3807,ORD,ATL,3,360,120,1
360,MQ,3853,ATL,ORD,3,360,115,0
361,MQ,3884,CLE,ORD,3,360,85,0
362,MQ,3908,CRW,ORD,3,360,105,0
363,MQ,3914,ICT,ORD,3,360,105,0
364,MQ,3939,BNA,ORD,3,360,105,0
365,MQ,4067,RIC,ORD,3,360,140,0
366,MQ,4114,PIT,ORD,3,360,105,1
367,MQ,4176,CMH,ORD,3,360,80,0
368,MQ,4223,ROC,ORD,3,360,125,0
369,MQ,4260,BWI,ORD,3,360,140,0
370,MQ,4275,MSN,ORD,3,360,55,0
371,MQ,4382,BOS,JFK,3,360,79,0
372,MQ,4420,BOS,LGA,3,360,80,0
373,MQ,4448,DCA,JFK,3,360,70,0
374,MQ,4581,CLT,LGA,3,360,110,1
375,MQ,4625,LGA,RDU,3,360,100,0
376,MQ,4629,RDU,LGA,3,360,95,0
377,MQ,4650,LGA,ATL,3,360,150,0
378,MQ,4697,DTW,LGA,3,360,100,0
379,OH,6341,RIC,DTW,3,360,125,0
380,OH,6357,BDL,DCA,3,360,84,0
381,OH,6379,BOS,JFK,3,360,88,0
382,OH,6401,HTS,CVG,3,360,53,0
383,OH,6560,ORD,JFK,3,360,133,0
384,OH,6655,OMA,MEM,3,360,114,0
385,OH,6668,CHS,LGA,3,360,118,0
386,OO,4611,SAT,SLC,3,360,175,0
387,OO,4662,ABQ,SLC,3,360,101,0
388,OO,4676,BNA,MSP,3,360,144,0
389,OO,4765,LAS,LAX,3,360,75,0
390,OO,4802,DFW,SLC,3,360,168,1
391,OO,4888,COS,MSP,3,360,135,1
392,OO,6245,MFR,SFO,3,360,81,0
393,OO,6285,MFR,DEN,3,360,155,1
394,OO,6300,FAT,LAX,3,360,59,0
395,OO,6330,ONT,SFO,3,360,85,0
396,OO,6345,PSC,SFO,3,360,125,0
397,OO,6359,BOI,SFO,3,360,112,1
398,OO,6399,ORD,MCI,3,360,88,1
399,OO,6405,PDX,SFO,3,360,105,0
400,OO,6434,SBP,LAX,3,360,62,0
401,OO,6471,ABQ,LAX,3,360,121,0
402,OO,6506,ELP,LAX,3,360,137,0
403,OO,6512,CLD,LAX,3,360,40,1
404,OO,6586,PSP,DEN,3,360,131,0
405,OO,6612,SLC,DEN,3,360,93,0
406,OO,6682,SBA,DEN,3,360,142,0
407,OO,6684,MEM,ORD,3,360,110,0
408,OO,6732,MRY,DEN,3,360,146,0
409,OO,6743,ATW,ORD,3,360,55,0
410,OO,6766,GEG,SFO,3,360,136,1
411,OO,6820,RDD,SFO,3,360,78,0
412,OO,6836,PAH,ORD,3,360,78,1
413,OO,6893,ACV,SFO,3,360,82,1
414,OO,6918,CMX,ORD,3,360,82,0
415,OO,6930,ORD,TYS,3,360,87,1
416,OO,6936,SPI,ORD,3,360,60,0
417,OO,6948,COS,ORD,3,360,146,0
418,OO,6949,EUG,DEN,3,360,155,0
419,OO,6975,DFW,ORD,3,360,139,0
420,OO,6997,MKE,ORD,3,360,44,1
421,OO,7006,EUG,PDX,3,360,41,0
422,OO,7008,CIC,SFO,3,360,65,0
423,OO,7049,SEA,PDX,3,360,48,0
424,OO,7763,PIH,SLC,3,360,48,0
425,OO,7768,SGU,SLC,3,360,73,1
426,OO,7799,COD,SLC,3,360,89,0
427,UA,189,BWI,ORD,3,360,135,0
428,UA,18,LAX,DEN,3,360,146,0
429,UA,201,BOS,IAD,3,360,103,0
430,UA,203,BOS,ORD,3,360,171,0
431,UA,226,SFO,BOS,3,360,342,0
432,UA,234,OMA,ORD,3,360,96,1
433,UA,257,JAX,ORD,3,360,156,0
434,UA,303,JFK,SFO,3,360,404,0
435,UA,32,PDX,DEN,3,360,146,0
436,UA,337,PHL,ORD,3,360,137,0
437,UA,376,ORD,PHL,3,360,125,0
438,UA,410,SMF,DEN,3,360,144,0
439,UA,468,SEA,SFO,3,360,130,0
440,UA,475,CLT,ORD,3,360,133,1
441,UA,494,DSM,ORD,3,360,80,0
442,UA,506,SFO,PHX,3,360,120,0
443,UA,510,LAS,SFO,3,360,95,0
444,UA,520,MSP,ORD,3,360,84,0
445,UA,532,DEN,ORD,3,360,141,0
446,UA,650,BDL,IAD,3,360,94,0
447,UA,668,ORD,LGA,3,360,127,1
448,UA,669,LGA,ORD,3,360,150,0
449,UA,705,IAD,ORD,3,360,131,0
450,UA,707,ORD,DEN,3,360,160,0
451,UA,736,SFO,LAS,3,360,98,0
452,UA,740,OAK,DEN,3,360,146,0
453,UA,90,LAX,SFO,3,360,89,0
454,UA,922,ORD,IAD,3,360,108,0
455,US,1050,RDU,CLT,3,360,57,0
456,US,1262,MIA,PHL,3,360,169,0
457,US,1267,LGA,PHL,3,360,57,0
458,US,1296,STL,CLT,3,360,113,0
459,US,1440,BNA,CLT,3,360,74,0
460,US,1772,MHT,CLT,3,360,152,0
461,US,1997,ORD,CLT,3,360,118,0
462,US,2021,BOS,DCA,3,360,96,0
463,US,2114,LGA,BOS,3,360,62,1
464,US,2115,BOS,LGA,3,360,70,0
465,US,2158,DCA,LGA,3,360,60,0
466,US,2161,LGA,DCA,3,360,59,0
467,US,270,IAH,PHX,3,360,172,0
468,US,56,ORD,PHL,3,360,119,0
469,US,578,SFO,PHX,3,360,111,0
470,US,595,MCI,PHX,3,360,174,0
471,US,652,IND,PHX,3,360,235,0
472,US,86,OMA,PHX,3,360,175,1
473,US,952,FLL,PHL,3,360,157,0
474,US,985,MSY,CLT,3,360,108,1
475,WN,1067,OAK,SAN,3,360,85,1
476,WN,109,MSY,DEN,3,360,180,0
477,WN,1289,GEG,SEA,3,360,70,0
478,WN,1357,SMF,ONT,3,360,80,0
479,WN,1851,ONT,OAK,3,360,80,1
480,WN,1929,LAX,DEN,3,360,135,0
481,WN,2529,IND,DEN,3,360,185,1
482,WN,2643,SMF,LAX,3,360,80,1
483,WN,2891,MDW,IAD,3,360,105,0
484,WN,3061,LGA,MDW,3,360,150,0
485,WN,367,MDW,BNA,3,360,85,1
486,WN,3,LIT,DAL,3,360,70,0
487,WN,406,SEA,LAS,3,360,140,1
488,WN,425,BOS,MDW,3,360,175,0
489,WN,647,PHX,DEN,3,360,105,1
490,WN,702,MDW,LAS,3,360,245,1
491,WN,735,IAD,DEN,3,360,240,0
492,WN,748,SMF,DEN,3,360,145,1
493,WN,799,LAX,SFO,3,360,80,0
494,WN,944,OAK,ONT,3,360,75,1
495,XE,2143,GSP,IAH,3,360,160,1
496,XE,2231,JAN,IAH,3,360,77,1
497,XE,2384,SHV,IAH,3,360,55,0
498,XE,2485,ORF,IAH,3,360,201,0
499,XE,2614,CMH,EWR,3,360,97,0
500,XE,2644,GPT,IAH,3,360,81,1
501,XE,2652,LEX,IAH,3,360,159,1
502,XE,2745,BNA,EWR,3,360,127,0
503,XE,2904,GRR,CLE,3,360,58,1
504,XE,2997,MSP,EWR,3,360,158,1
505,XE,3037,CHS,IAH,3,360,167,0
506,XE,3047,BHM,IAH,3,360,116,1
507,XE,3066,RIC,EWR,3,360,69,0
508,XE,3115,PVD,CLE,3,360,117,0
509,XE,5905,ABE,ORD,3,360,136,1
510,XE,5924,ICT,ORD,3,360,110,1
511,XE,5941,TUL,ORD,3,360,113,0
512,XE,5949,BTV,ORD,3,360,159,0
513,XE,5958,GRB,ORD,3,360,60,0
514,XE,5983,CLE,IAD,3,360,75,1
515,XE,5984,TYS,IAD,3,360,95,0
516,XE,5986,FAR,ORD,3,360,112,1
517,XE,5991,XNA,ORD,3,360,105,0
518,XE,5992,FSD,ORD,3,360,96,0
519,YV,2692,MEM,CLT,3,360,105,0
520,YV,2718,MRY,PHX,3,360,145,0
521,YV,2931,SAT,PHX,3,360,146,0
522,YV,7218,ATL,IAD,3,360,100,0
523,YV,7236,ROC,ORD,3,360,117,0
524,YV,7238,ORD,JAX,3,360,135,0
525,YV,7287,ORF,ORD,3,360,143,0
526,B6,742,SJU,MCO,3,361,184,0
527,OO,6965,AVL,ORD,3,361,109,0
528,UA,664,SFO,ORD,3,361,249,0
529,CO,1406,PIT,IAH,3,362,188,1
530,OO,6497,BFL,DEN,3,362,144,0
531,OO,6749,RAP,DEN,3,362,76,0
532,OO,6829,SMF,SFO,3,362,48,0
533,OO,7052,DRO,DEN,3,362,76,0
534,UA,59,DEN,SFO,3,362,167,0
535,UA,635,RDU,ORD,3,362,139,0
536,UA,675,BUF,ORD,3,362,113,0
537,XE,5902,PIA,ORD,3,362,63,0
538,B6,1320,BWI,BOS,3,363,77,0
539,B6,740,PSE,JFK,3,363,237,0
540,DL,1943,EWR,ATL,3,363,156,0
541,XE,2006,GSO,EWR,3,363,89,0
542,XE,2783,TYS,IAH,3,363,142,0
543,HA,205,OGG,HNL,3,364,33,0
544,OO,6495,COS,LAX,3,364,161,0
545,OO,6991,BHM,ORD,3,364,132,1
546,UA,261,SFO,LAX,3,364,95,0
547,9E,3698,PIA,MSP,3,365,100,0
548,9E,3964,ALB,JFK,3,365,90,1
549,9E,4227,FWA,CVG,3,365,52,0
550,AA,1002,DEN,DFW,3,365,125,0
551,AA,1331,MCI,DFW,3,365,105,0
552,AA,1425,STL,ORD,3,365,75,0
553,AA,1698,SLC,DFW,3,365,170,0
554,AA,1851,DCA,MIA,3,365,160,1
555,AA,1938,MSP,MIA,3,365,225,0
556,AA,2127,PHL,MIA,3,365,175,0
557,AA,697,FLL,DFW,3,365,190,0
558,AA,705,LGA,DFW,3,365,250,0
559,AS,730,ANC,SEA,3,365,205,0
560,AS,73,SIT,JNU,3,365,42,0
561,B6,1235,BOS,RDU,3,365,125,0
562,B6,451,BOS,FLL,3,365,204,0
563,CO,1093,CMH,IAH,3,365,168,1
564,CO,1471,TUL,IAH,3,365,95,0
565,CO,151,RDU,IAH,3,365,180,0
566,CO,1831,PBI,IAH,3,365,163,0
567,DL,1024,BDL,ATL,3,365,175,0
568,DL,1583,RSW,CVG,3,365,141,0
569,DL,1937,BWI,DTW,3,365,103,0
570,DL,1982,MEM,ATL,3,365,85,0
571,DL,2385,BOS,CVG,3,365,145,0
572,DL,2931,LGA,DTW,3,365,118,0
573,DL,2940,OAK,SLC,3,365,108,0
574,EV,5343,GRR,ATL,3,365,130,0
575,FL,290,HOU,ATL,3,365,112,0
576,FL,461,BWI,ATL,3,365,126,0
577,MQ,3074,LAX,RNO,3,365,90,0
578,MQ,3366,CAE,DFW,3,365,185,0
579,MQ,3391,TXK,DFW,3,365,60,1
580,MQ,3894,XNA,ORD,3,365,100,1
581,MQ,4015,JAX,ORD,3,365,160,0
582,MQ,4077,ABE,ORD,3,365,140,0
583,OH,6358,LIT,DTW,3,365,131,0
584,OH,6522,PHL,MEM,3,365,178,0
585,OO,3045,DSM,MKE,3,365,66,0
